 1            5.1         3.5          1.4         0.2     setosa	Red
 2            4.9         3.0          1.4         0.2     setosa	Red
 3            4.7         3.2          1.3         0.2     setosa	Red
 4            4.6         3.1          1.5         0.2     setosa	Red
 5            5.0         3.6          1.4         0.2     setosa	Red
 6            5.4         3.9          1.7         0.4     setosa	Red
 7            4.6         3.4          1.4         0.3     setosa	Red
 8            5.0         3.4          1.5         0.2     setosa	Red
 9            4.4         2.9          1.4         0.2     setosa	Red
 10           4.9         3.1          1.5         0.1     setosa	Red
 11           5.4         3.7          1.5         0.2     setosa	Red
 12           4.8         3.4          1.6         0.2     setosa	Red
 13           4.8         3.0          1.4         0.1     setosa	Red
 14           4.3         3.0          1.1         0.1     setosa	Red
 15           5.8         4.0          1.2         0.2     setosa	Red
 16           5.7         4.4          1.5         0.4     setosa	Red
 17           5.4         3.9          1.3         0.4     setosa	Red
 18           5.1         3.5          1.4         0.3     setosa	Red
 19           5.7         3.8          1.7         0.3     setosa	Red
 20           5.1         3.8          1.5         0.3     setosa	Red
 21           5.4         3.4          1.7         0.2     setosa	Red
 22           5.1         3.7          1.5         0.4     setosa	Red
 23           4.6         3.6          1.0         0.2     setosa	Red
 24           5.1         3.3          1.7         0.5     setosa	Red
 25           4.8         3.4          1.9         0.2     setosa	Red
 26           5.0         3.0          1.6         0.2     setosa	Red
 27           5.0         3.4          1.6         0.4     setosa	Red
 28           5.2         3.5          1.5         0.2     setosa	Red
 29           5.2         3.4          1.4         0.2     setosa	Red
 30           4.7         3.2          1.6         0.2     setosa	Red
 31           4.8         3.1          1.6         0.2     setosa	Red
 32           5.4         3.4          1.5         0.4     setosa	Red
 33           5.2         4.1          1.5         0.1     setosa	Red
 34           5.5         4.2          1.4         0.2     setosa	Red
 35           4.9         3.1          1.5         0.2     setosa	Red
 36           5.0         3.2          1.2         0.2     setosa	Red
 37           5.5         3.5          1.3         0.2     setosa	Red
 38           4.9         3.6          1.4         0.1     setosa	Red
 39           4.4         3.0          1.3         0.2     setosa	Red
 40           5.1         3.4          1.5         0.2     setosa	Red
 41           5.0         3.5          1.3         0.3     setosa	Red
 42           4.5         2.3          1.3         0.3     setosa	Red
 43           4.4         3.2          1.3         0.2     setosa	Red
 44           5.0         3.5          1.6         0.6     setosa	Red
 45           5.1         3.8          1.9         0.4     setosa	Red
